Blink_ID,Start_Frame,End_Frame,Duration,Amplitude,Velocity,Frequency
1,86,88,3,0.2268073558807373,0.2268073558807373,1.1235955056179776
2,351,353,3,0.11591571569442749,0.11591571569442749,0.5649717514124294
3,646,648,3,0.17518186569213867,0.025799095630645752,0.46224961479198773
4,682,684,3,0.03254884481430054,0.03254884481430054,0.583941605839416
5,832,834,3,0.034337639808654785,0.0020852088928222656,0.5988023952095809
6,1069,1072,4,0.013663172721862793,0.004554390907287598,0.5591798695246971
7,1112,1114,3,0.42583322525024414,0.42583322525024414,0.6278026905829596
8,1417,1420,4,0.19591426849365234,0.0,0.5629838142153413
9,1560,1563,4,0.004171907901763916,0.0013906359672546387,0.5754475703324808
10,1611,1613,3,0.012365341186523438,0.006003618240356445,0.6195786864931847
11,2241,2243,3,0.03607320785522461,0.018036603927612305,0.49019607843137253
12,2592,2594,3,0.02042609453201294,0.00124436616897583,0.46242774566473993
13,2687,2689,3,0.4157606065273285,0.4157606065273285,0.483271375464684
14,2718,2720,3,0.1590014100074768,0.007028520107269287,0.5145167217934583
15,2755,2757,3,0.012378692626953125,0.012378692626953125,0.5438723712835388
16,2803,2805,3,0.11495816707611084,0.11495816707611084,0.5702066999287242
17,2866,2868,3,0.326668381690979,0.326668381690979,0.5925409550365981
18,3061,3064,4,0.2971123456954956,0.17385977506637573,0.5872756933115824
19,3450,3452,3,0.08074957132339478,0.00852745771408081,0.5502461627570229
20,3544,3546,3,0.045071303844451904,0.014095842838287354,0.563856780377784
21,3587,3590,4,0.1933160424232483,0.1933160424232483,0.5847953216374269
22,3719,3721,3,0.024217426776885986,0.024217426776885986,0.5910800644814616
23,3790,3792,3,0.070098876953125,0.0030719637870788574,0.6063801740047456
24,3978,3980,3,0.0006722211837768555,0.0,0.6028636021100227
25,4059,4062,4,0.2887580394744873,0.0,0.6153088850603003
26,4127,4129,3,0.01237475872039795,0.0,0.6295399515738499
27,4466,4469,4,0.04100513458251953,0.04100513458251953,0.6040268456375839
28,4514,4516,3,0.014735877513885498,0.0,0.6198804516271862
29,4660,4663,4,0.0848085880279541,0.01445859670639038,0.6217838765008576
30,4795,4798,4,0.05394870042800903,0.05000549554824829,0.625130235465722
31,4853,4855,3,0.03605729341506958,0.034942030906677246,0.6383855024711697
32,4896,4899,4,0.08496803045272827,0.08496803045272827,0.653061224489796
33,4938,4940,3,0.0358506441116333,0.005429506301879883,0.6678809957498483
34,4993,4995,3,0.040615856647491455,0.040615856647491455,0.6805444355484388
35,5136,5141,6,0.14837372303009033,0.07418686151504517,0.6806690003889537
36,5181,5183,3,0.04453706741333008,0.006283819675445557,0.6944444444444444
37,5304,5306,3,0.033841609954833984,0.033841609954833984,0.697192387412851
38,5396,5398,3,0.157711923122406,0.006495118141174316,0.7038340433413596
39,5472,5474,3,0.13671576976776123,0.13671576976776123,0.7123287671232876
40,5648,5650,3,0.03675168752670288,0.01837584376335144,0.7078393204742524
